57.03125,256
69.921875,256
73.828125,256
68.359375,256
69.140625,256
70.3125,256
73.046875,256
69.140625,256
70.3125,256
71.875,256
66.796875,256
67.1875,256
68.359375,256
72.65625,256
68.359375,256
63.28125,256
66.015625,256
66.015625,256
65.234375,256
64.0625,256
68.75,256
68.359375,256
68.359375,256
67.578125,256
68.359375,256
70.3125,256
66.015625,256
68.359375,256
73.046875,256
67.578125,256
67.96875,256
73.828125,256
68.75,256
68.359375,256
69.53125,256
64.453125,256
67.96875,256
66.40625,256
69.53125,256
69.53125,256
67.578125,256
72.265625,256
71.484375,256
73.4375,256
67.1875,256
65.625,256
74.21875,256
62.890625,256
71.875,256
70.703125,256
68.75,256
67.1875,256
71.875,256
68.75,256
72.65625,256
69.140625,256
69.140625,256
75,256
72.265625,256
69.921875,256
67.578125,256
67.96875,256
69.53125,256
67.1875,256
65.234375,256
73.046875,256
67.578125,256
68.75,256
66.796875,256
63.671875,256
73.4375,256
69.53125,256
67.578125,256
75,256
66.40625,256
72.265625,256
65.234375,256
65.625,256
67.578125,256
73.4375,256
72.65625,256
71.875,256
69.53125,256
66.40625,256
72.65625,256
64.84375,256
64.84375,256
57.8125,256
70.3125,256
69.140625,256
65.234375,256
67.578125,256
76.171875,256
72.265625,256
70.3125,256
67.96875,256
70.703125,256
78.515625,256
73.046875,256
68.359375,256
75,256
72.265625,256
66.796875,256
68.75,256
69.53125,256
64.453125,256
65.234375,256
71.484375,256
74.609375,256
68.359375,256
67.1875,256
70.3125,256
68.75,256
62.890625,256
65.625,256
67.1875,256
69.921875,256
70.703125,256
74.21875,256
69.921875,256
72.65625,256
68.75,256
66.796875,256
70.703125,256
64.84375,256
70.3125,256
63.28125,256
63.671875,256
69.140625,256
69.140625,256
69.921875,256
69.53125,256
70.3125,256
73.046875,256
69.53125,256
69.53125,256
62.109375,256
69.921875,256
64.84375,256
74.21875,256
73.828125,256
71.09375,256
64.453125,256
68.359375,256
71.09375,256
69.53125,256
62.890625,256
67.1875,256
69.140625,256
68.75,256
64.453125,256
69.140625,256
71.484375,256
71.484375,256
67.578125,256
63.28125,256
69.53125,256
67.96875,256
66.796875,256
69.140625,256
71.484375,256
75.390625,256
67.96875,256
68.359375,256
70.703125,256
70.3125,256
69.921875,256
69.140625,256
69.53125,256
69.53125,256
67.96875,256
71.09375,256
63.28125,256
70.3125,256
66.796875,256
67.96875,256
69.921875,256
66.40625,256
69.53125,256
70.3125,256
69.53125,256
75.390625,256
64.84375,256
71.09375,256
64.453125,256
67.1875,256
64.453125,256
66.796875,256
67.1875,256
72.65625,256
66.796875,256
69.140625,256
66.015625,256
69.140625,256
66.796875,256
74.21875,256
71.09375,256
71.484375,256
66.796875,256
72.65625,256
64.84375,256
69.140625,256
71.09375,256
70.3125,256
69.140625,256
65.234375,256
76.171875,256
65.234375,256
58.984375,256
67.1875,256
67.1875,256
69.140625,256
72.265625,256
66.40625,256
64.0625,256
68.359375,256
69.921875,256
74.609375,256
70.703125,256
73.046875,256
68.75,256
71.484375,256
72.65625,256
69.53125,256
68.359375,256
73.046875,256
63.671875,256
69.53125,256
66.015625,256
73.4375,256
70.703125,256
79.6875,256
62.5,256
67.1875,256
73.4375,256
71.09375,256
66.796875,256
65.234375,256
67.1875,256
66.796875,256
73.828125,256
69.921875,256
71.484375,256
70.3125,256
73.046875,256
60.15625,256
68.75,256
71.09375,256
72.265625,256
64.84375,256
65.625,256
66.796875,256
62.890625,256
68.359375,256
70.3125,256
69.921875,256
67.1875,256
73.4375,256
73.828125,256
73.046875,256
71.484375,256
67.1875,256
62.109375,256
67.1875,256
68.359375,256
67.578125,256
66.015625,256
68.359375,256
64.84375,256
69.53125,256
64.0625,256
69.53125,256
68.75,256
65.625,256
73.046875,256
68.75,256
68.75,256
69.140625,256
70.3125,256
